max_depth:  10 , n_estimators:  10
max_depth:  50 , n_estimators:  60
train:  0.9698310539018503 , test:  0.835
max_depth:  50 , n_estimators:  110
train:  0.9722445695897023 , test:  0.8366666666666667
max_depth:  50 , n_estimators:  160
train:  0.9706355591311343 , test:  0.8333333333333334
max_depth:  50 , n_estimators:  210
train:  0.9734513274336283 , test:  0.8366666666666667
max_depth:  50 , n_estimators:  260
train:  0.9718423169750603 , test:  0.835
max_depth:  50 , n_estimators:  310
train:  0.9726468222043443 , test:  0.835
max_depth:  50 , n_estimators:  360
train:  0.9726468222043443 , test:  0.8366666666666667
max_depth:  50 , n_estimators:  410
train:  0.9734513274336283 , test:  0.8383333333333334
max_depth:  50 , n_estimators:  460
train:  0.9742558326629123 , test:  0.8366666666666667
max_depth:  55 , n_estimators:  10
train:  0.9537409493161706 , test:  0.82
max_depth:  55 , n_estimators:  60
train:  0.9746580852775543 , test:  0.8366666666666667
max_depth:  55 , n_estimators:  110
train:  0.9790828640386162 , test:  0.8366666666666667
max_depth:  55 , n_estimators:  160
train:  0.9782783588093322 , test:  0.835
max_depth:  55 , n_estimators:  210
train:  0.9790828640386162 , test:  0.8366666666666667

max_depth:  55 , n_estimators:  260
train:  0.9774738535800482 , test:  0.8383333333333334
max_depth:  55 , n_estimators:  310
train:  0.9762670957361222 , test:  0.845
max_depth:  55 , n_estimators:  360
train:  0.9790828640386162 , test:  0.8383333333333334
max_depth:  55 , n_estimators:  410
train:  0.9786806114239742 , test:  0.8383333333333334
max_depth:  55 , n_estimators:  460
train:  0.9786806114239742 , test:  0.8366666666666667
